gene,log2FC_tumor_vs_normal,pvalue,FDR
GDF2,0.6218788031412628,0.016013017341961016,0.05654337977183174
ARHGAP22,0.4804820079397141,0.07293710980442576,0.15731809753695525
WDFY4,-0.3764500813201046,0.19021328674745946,0.31325029802117665
EIF2AK4,0.30754451831228113,0.02918291004360457,0.08400431481758301
MYO5C,0.1755822799102713,0.3057589344159381,0.44203186912527687
CGNL1,0.5645828526887469,0.0055718050286881066,0.027238579219530712
TMOD2,0.2306875702696891,0.17051719893849665,0.28910533695511265
TTBK2,0.5767745207096846,0.00027924311637517483,0.003018827811159575
ELL3,0.03346411992125242,0.8908863087489178,0.9295038692434071
C15orf57,0.22358106936757682,0.12447477084266086,0.23076223318187358
INO80,0.324165647610974,0.12349519912048286,0.22939016528124795
NARG2,0.5005505843198312,0.005800260814714628,0.0280494807156243
DLL4,0.25416075373715197,0.18686802009757594,0.30951580507634946
ALDH1A2,1.6149144099306245,2.392367459962702e-10,4.7139020794441554e-08
FAM63B,0.18866360864304976,0.060300616886125424,0.13744232464300118
IVD,0.12698826761541326,0.5201262307005479,0.6437278763852214
KNSTRN,-0.70867208971179,0.003439745169691123,0.019086691999020484
DUT,-0.3136037051793936,0.2984296523889533,0.4343083002661672
CHAC1,-0.8679587969375193,0.00024166458521800472,0.0027149104716106534
CLN6,-0.9046894022600274,0.002283086562482562,0.01409259021276859
ARPP19,0.2060782299817232,0.23783902965959935,0.36926139962136945
VPS13C,0.3912006928381375,0.10845067602236218,0.2088179427761482
CALML4,-0.1270653479512216,0.5571224013873202,0.6751309028087044
ISLR,-0.31616155756279696,0.4434716881633185,0.5746176254726565
THAP10,0.1900732026458959,0.2134912559308079,0.34080597789494654
LOXL1,-0.9509658352372714,0.004319386053744573,0.022677905148421742
ACKR4,0.8721789119836145,1.0604136513045479e-05,0.0002472834809093982
ANAPC13,-0.05127681849878307,0.8211258137502826,0.8818053221882544
MBD4,-0.587201357981773,0.0030262958879176544,0.017394312190403813
COPB1,-0.386444660349305,0.1198836466131413,0.22416112436760316
PSMA1,2.377710211676913,4.2207526758817895e-07,1.8625831347855478e-05
SUMF2,-0.53502696034308,0.028865685096416856,0.08343334217499623
PALLD,0.25389196334183683,0.2714122772502814,0.40641066518970015
SPCS3,-0.1298950230039928,0.5361674489993058,0.6577484825726697
BBOX1,0.6976963396869058,0.008993199771502104,0.038252979684158576
MYOD1,0.349087373267486,0.03278984147062036,0.09064790012056781
SERGEF,0.035991646036722,0.8884300255384652,0.9275189160704417
KCNC1,0.6302234486839693,0.008520691689436378,0.036792621688832725
TPH1,0.5374335574754052,0.025192119927109166,0.07655144032280617
CSRP3,0.36054379457213703,0.07732788404304515,0.1639795761040525
E2F8,-0.6185648943710083,0.01218200719720567,0.04735463726637334
DCTD,-0.22140827701874688,0.3678435816516582,0.5024972597093301
SOX15,0.6753867684499069,0.01569198363630188,0.05581484460809467
FAM64A,-0.9662364905967684,0.0009607144200853074,0.007468482495484141
RPAIN,-0.041136358394548544,0.7884729498732028,0.8575235275648684
USP6,0.6777583089979369,0.016387144881516092,0.0574880149814471
SHBG,0.5821387374582302,0.010689902439358745,0.04318721432951441
PLD2,0.2843833433785967,0.23570925496592376,0.36654941243462824
AIPL1,0.47336671750097903,0.10006677608066822,0.19642183165419028
CD68,-0.9043593505955378,0.011792261790707586,0.04633448239875681
TXNDC17,-0.7017979756942982,0.005336167386669252,0.02649364924339887
ATP1B2,0.8497360820495152,0.00013991412638882038,0.0018118518763933712
FXR2,-0.30035430249050776,0.18729851320270088,0.3099230626006819
KIF1C,-0.42779538280203955,0.05283354598553701,0.1252032316020897
